Name,Vendor Impact,Likely Vendor Remediation/Steps,End Customer Impact,Tier
Public API Errors,One or more pieces of the Nuon product are probably non-functional. True impact depends on actual cause and area of product.,Escalation with Nuon Support. This is likely due to changes within the Nuon codebase.,"End Customers should generally not have strong impact, unless parts of Vendor functionality relies upon the Nuon public API. However, the cause of the API errors might be failure of core infrastructure, which may negatively impact the end-customer experience.",Tier 1
Temporal workers are overloaded,"Critical worker state could mean that behavior that the platform does would degrade in performance (as jobs take longer and longer to get picked up by an impacted worker pool) or not get enqueued to be performed at all (as jobs are ""stuck"" and cannot progress).","Page Nuon for assistance.

Short term fixes.
Highly dependent on the actual issue that creates the condition, but if it is the case that workers are simply taking a prolonged amount of time to perform jobs, then the worker pools can be scaled out to create more parallelism

If it's believed that there are problemmatic jobs in the event loops, Temporal Event loops can be safely restarted without issue. (TKTK add in steps to do this in a BYOC Nuon).","No impact
",Tier 1
Runner API Errors,"The runner being unable to communicate with ctl-api can cause varying levels of cascading failure in the runner, depending on which communications are failing.

This could mean that jobs are not correctly picked up by the runners, meaning an end customer could be in a dead stick situation. ","Dependent on the situation. If this is a network partition, then resolve the partition.

If this is an unhealthy runner, instruct end-customer to terminate the offending runner in environment. This is safe- there is an accompanying AutoScalingGroup that will recreate the runner and phone back to the Nuon API.",Dead Stick- An unhealthy runner will not be able to work correctly with the Nuon Control API and this may result in failed upgrades/healthchecks/actions.,Tier 1
Temporal server is overloaded,"If Temporal comes under too much load, the whole system can slow down.

Temporal is responsible for the majority of business logic in the Nuon Platform. ","Dependent on cause. Temporal can be scaled, but there might be an underlying cause that is creating an error state, which creates the load.",Degraded/No ability to monitor or control the end user installations.,Tier 1
Expected event loops are not running,"If an event loop for an object isn't running, then all system behaviors related to that object are halted.","Escalate to Nuon Suppport

Event loops are durable and can be restarted, though an analysis of why the event loops stopped should be done. TKTK insert instructions on how to restart, dependent on how we decide to expose the Temporal","Dependent on the event loop that is failing. Any behavior that was reliant on the failing event loop will not function correctly. 

This should not affect the end-customer deployment from a stability standpoint other than failing healthchecks and possible loss of telemetry",Tier 1
Runners are unhealthy,"An unhealthy runner cannot execute jobs. An unhealthy org runner cannot create apps or installs, and an unhealthy install runner cannot provision installs or run actions, etc.","1. A runner can be restarted from the install's runner panel. https://app.nuon.co/[orgid]/installs/[installid]/runner. Look on the right side of the screen.
2. A runner can be safely terminated from the AWS console- it's covered by an autoscaling group that will automatically recreate the runner. This will automatically phone home and be associated with the correct install

It is possible that there is some kind of systemic problem will simply lock up the runner again. If so, please escalate with Nuon.",Dead Stick- An unhealthy runner will not be able to work correctly with the Nuon Control API and this may result in failed upgrades/healthchecks/actions.,Tier 1
Sustained high levels of workflow panics,"Too many panics in workflows means work cannot get done, and affected users will be unable to complete some or all standard actions.

Some workflow panics and spikes are expected, as they will occur when there are non-deterministic changes to workflows (such as after a new installation of a version).

But sustained numbers of panics are a cause for concern. They usually indicate a bug.","Escalate to Nuon.
","Temporal manages most of the business logic of Nuon's platform, which means you may have degraded ability to control areas where there are workflow panics.
",Tier 1
Runner Jobs Not Being Picked Up,A particular install or build might be in an error state and not progress normally. ,"1. A runner can be restarted from the install's runner panel. https://app.nuon.co/[orgid]/installs/[installid]/runner. Look on the right side of the screen.
2. A runner can be safely terminated from the AWS console- it's covered by an autoscaling group that will automatically recreate the runner. This will automatically phone home and be associated with the correct install

It is possible that there is some kind of systemic problem will simply lock up the runner again. If so, please escalate with Nuon.",Dead Stick- An unhealthy runner will not be able to work correctly with the Nuon Control API and this may result in failed upgrades/healthchecks/actions.,Tier 2
CTL-API RDS overloaded,"An overloaded primary DB means EVERYTHING nuon does slows down, or starts failing in novel ways.","An overloaded primary DB means EVERYTHING nuon does slows down, or starts failing in novel ways.","An overloaded primary DB means EVERYTHING nuon does slows down, or starts failing in novel ways.",Tier 2
Spike in Activity Errors,"Some number of activity errors are normal. A sudden spike in error levels usually indicates a buggy activity was introduced. The exact impact will vary on the intensity and the locale of the error, but in general, expect the subject of the error to not be functioning properly.","If there is a sustained period of activity errors, if there was a recent deploy to the Nuon platform, you should escalate to Nuon. Otherwise, if no changes to the platform happened, you might investigate if there is an infrastructure level failure or some kind of specific and localized error with a particular activity.","End users will probably notice nothing, unless there are specific parts of their product experience that are tied to Nuon.",Tier 2
